Rank,name,Position,School,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Yahoo,GP,GS,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,
47,"Bridges, Jalen",SF,Baylor,5/14/01,23.14,"6'8""","6'10""",213,"10""","8'9""",25.00,32.0,11.14,3.00,3.16,49,50.71,53,52,50,54,47,46,53,35,35,31.7,12.2,1.9,3.7,5.7,1.4,1.1,0.6,1.0,1.5,4.1,8.8,0.466,2.0,3.8,0.538,2.1,5.1,0.412,1.9,2.3,0.823,0.666,13.9,2.2,4.2,6.5,1.6,1.2,0.7,1.1,1.7,4.7,4.3,5.8,2.6,https://www.sports-reference.com/cbb/players/jalen-bridges-1.html,
48,"Johnson, Keshad",PF,Arizona,6/23/01,23.03,"6'7.5""","6'10.25""",224,"10.75""","8'7""",31.50,42.0,11.38,3.02,3.03,50,50.86,49,51,47,51,52,53,53,36,36,27.6,11.5,2.0,3.9,5.9,1.8,1.0,0.7,1.6,2.1,4.2,7.9,0.530,3.2,5.3,0.599,1.0,2.6,0.387,2.1,3.0,0.710,0.700,15.0,2.6,5.1,7.7,2.3,1.3,0.9,2.1,2.7,5.5,6.9,3.4,3.9,https://www.sports-reference.com/cbb/players/keshad-johnson-1.html,
49,"Wells, Jaylen",SF,Washington State,8/26/03,20.86,"6'7.75""","6'7.25""",206,"9.25""","8'7.5""",27.50,36.0,11.28,3.03,3.08,51,51.00,47,50,54,49,44,60,53,34,20,29.2,12.6,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,4.1,9.4,0.436,2.0,4.4,0.457,2.1,4.9,0.417,2.3,2.9,0.814,0.646,15.5,1.5,4.2,5.7,1.5,0.6,0.2,0.9,2.3,5.1,5.4,6.0,3.6,https://www.sports-reference.com/cbb/players/jaylen-wells-1.html,
50,"Hall, PJ",C,Clemson,2/21/02,22.37,"6'9.75""","7'1.5""",240,"9.75""","8'7.5""",32.50,39.5,11.76,3.01,3.35,52,51.43,61,45,45,59,60,37,53,36,36,28.9,18.3,1.6,4.8,6.4,1.4,0.8,1.4,1.9,3.1,6.7,13.7,0.488,5.2,9.1,0.575,1.4,4.6,0.315,3.5,4.5,0.779,0.652,22.8,2.0,6.0,8.0,1.7,1.0,1.7,2.4,3.9,8.3,11.3,5.7,5.6,https://www.sports-reference.com/cbb/players/pj-hall-1.html,
51,"Larsson, Pelle",SG,Arizona,2/23/01,23.37,"6'6.5""","6'7.5""",212,"10.25""","8'6""",30.50,38.0,11.15,2.91,3.06,53,51.86,45,49,60,46,51,59,53,36,36,30.1,12.8,1.1,3.0,4.1,3.7,0.9,0.2,1.9,2.6,4.5,8.7,0.519,3.3,5.7,0.568,1.3,3.0,0.426,2.4,3.2,0.750,0.709,15.3,1.3,3.6,4.9,4.4,1.1,0.2,2.3,3.1,5.4,6.8,3.6,3.8,https://www.sports-reference.com/cbb/players/pelle-larsson-1.html,
52,"Alexander, Trey",SG,Creighton,5/2/03,21.18,"6'4.5""","6'10.5""",187,"10""","8'5.5""",26.50,32.0,11.37,2.92,3.21,54,52.43,62,44,38,50,70,50,53,35,35,37.3,17.6,0.5,5.2,5.7,4.7,1.1,0.4,2.5,1.7,6.6,14.9,0.446,4.9,9.6,0.504,1.8,5.2,0.339,2.5,3.1,0.824,0.577,17.0,0.5,5.0,5.5,4.5,1.1,0.4,2.4,1.6,6.4,9.3,5.0,3.0,https://www.sports-reference.com/cbb/players/trey-alexander-1.html,
53,"Flowers, Trentyn",SF,Australia,3/8/05,19.33,"6'7.75""","6'8.25""",201,"9.5""","8'4.5""",34.50,42.0,11.01,3.00,3.13,55,52.86,56,73,61,60,28,39,53,18,5,12.7,5.0,0.6,2.3,2.9,0.4,0.3,0.1,1.0,1.3,1.8,4.0,0.444,1.4,2.9,0.473,0.4,1.1,0.368,1.1,1.7,0.613,0.586,14.2,1.6,6.6,8.2,1.2,0.8,0.3,2.8,3.8,5.0,8.3,3.0,4.9,https://basketball.realgm.com/player/Trentyn-Flowers/Summary/191124,
54,"Ajinca, Melvin",SF,France,6/26/04,20.03,6' 8.5'',6' 7.5'',214,"9.75""",8' 10.5'',26.50,31.0,11.78,3.00,3.38,56,52.86,48,57,53,52,40,67,53,28,,24.6,9.3,1.0,2.3,3.3,0.8,0.5,0.0,0.6,2.2,3.0,8.0,0.375,1.4,2.7,0.507,1.6,5.3,0.309,1.7,2.1,0.797,0.557,13.6,1.5,3.4,4.8,1.2,0.7,0.0,0.9,3.2,4.4,4.0,7.8,3.1,https://www.basketball-reference.com/international/players/melvin-ajinca-1.html,
55,"Newton, Tristen",PG,UConn,4/26/01,23.19,"6'4.5""","6'6.75""",192,"9""","8'4""",25.00,32.5,10.96,2.84,3.24,57,53.86,66,46,42,57,57,56,53,40,40,33.2,15.1,1.4,5.2,6.6,6.2,0.9,0.3,2.5,1.8,4.6,11.0,0.415,2.8,5.5,0.509,1.8,5.5,0.321,4.2,5.2,0.808,0.665,16.4,1.5,5.6,7.2,6.7,1.0,0.3,2.7,2.0,5.0,6.0,6.0,5.6,https://www.sports-reference.com/cbb/players/tristen-newton-1.html,
56,"Reeves, Antonio",SG,Kentucky,11/20/00,23.63,"6'5.75""","6'8.25""",187,"10""","8'4.5""",29.00,36.0,11.44,3.16,3.14,58,54.14,54,40,56,58,70,48,53,33,33,31.4,20.2,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,7.1,13.9,0.512,4.6,8.2,0.557,2.5,5.7,0.447,3.4,4.0,0.863,0.707,23.2,0.8,3.9,4.8,1.8,0.8,0.2,1.4,2.1,8.1,9.4,6.5,4.6,https://www.sports-reference.com/cbb/players/antonio-reeves-1.html,
57,"Chomche, Ulrich",C,NBA Academy Africa,12/30/05,18.51,"6'11.5""","7'4""",232,"10.25""","9'1""",29.00,35.5,11.74,2.84,3.10,59,57.43,43,82,63,55,48,58,53,3,3,30.1,13.0,1.3,7.7,9.0,3.3,1.3,2.7,5.0,1.0,4.7,11.0,0.424,2.0,4.0,0.500,2.7,7.0,0.381,1.0,1.3,0.750,0.574,15.5,1.6,9.2,10.8,4.0,1.6,3.2,6.0,1.2,5.6,4.8,8.4,1.6,https://basketball.realgm.com/player/Ulrich-Chomche/Summary/155584,
58,"Post, Quinten",C,Boston College,3/21/00,24.29,"7'1.25""","7'2.5""",244,"10""","9'4""",24.00,27.0,11.48,3.03,3.40,60,58.71,60,48,66,62,55,67,53,35,35,31.9,17.0,2.0,6.1,8.1,2.9,0.9,1.7,2.5,2.9,6.3,12.3,0.514,4.9,9.0,0.544,1.4,3.3,0.431,2.9,3.5,0.821,0.671,19.2,2.3,6.9,9.1,3.3,1.0,1.9,2.8,3.3,7.1,10.2,3.7,3.9,https://www.sports-reference.com/cbb/players/quinten-post-1.html,
59,"Crawford, Isaiah",SF,Louisiana Tech,11/1/01,22.68,"6'6""","7'0""",220,,,,,,,,61,60.00,67,56,69,56,70,49,53,32,32,32.9,16.3,1.9,4.3,6.2,2.4,2.1,1.7,2.5,2.3,5.7,11.7,0.485,4.4,8.6,0.511,1.3,3.1,0.414,3.7,5.1,0.728,0.678,17.8,2.1,4.7,6.8,2.6,2.3,1.9,2.7,2.5,6.2,9.4,3.4,5.6,https://www.sports-reference.com/cbb/players/isaiah-crawford-1.html,
60,"Freeman, Enrique",PF,Akron,7/29/00,23.93,6' 8.5'',7' 2.00'',212,10,9' 0.00'',30.50,35.0,10.99,3.04,3.26,62,60.86,57,60,58,61,70,67,53,35,35,32.5,18.6,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,6.7,11.4,0.584,6.1,9.9,0.617,0.6,1.5,0.370,4.7,6.5,0.728,0.793,20.6,4.0,10.4,14.3,1.8,0.9,1.9,2.8,3.1,7.4,11.0,1.7,7.2,https://www.sports-reference.com/cbb/players/enrique-freeman-1.html,
61,"James, Bronny",SG,USC,10/6/04,19.75,"6'2.75""","6'7.25""",210,"9.5""","8'2.5""",32.00,40.5,10.96,3.02,3.09,63,61.14,55,72,55,68,58,67,53,25,6,19.3,4.8,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,1.6,4.5,0.366,1.0,2.1,0.481,0.6,2.4,0.267,0.9,1.4,0.676,0.500,9.0,0.6,4.8,5.2,3.9,1.5,0.4,2.1,3.2,3.0,3.9,4.5,2.6,https://www.sports-reference.com/cbb/players/bronny-james-1.html,
62,"Hukporti, Ariel",C,Australia,4/12/02,22.23,"7'0""","7'2.5""",246,"10.25""","9'3""",,,,,,64,61.43,63,59,64,64,70,57,53,28,,18.4,8.4,2.4,4.6,7.0,0.7,0.6,1.5,1.7,2.9,3.2,5.4,0.596,3.2,5.4,0.596,0.0,0.0,0.000,2.0,3.2,0.618,0.740,16.4,4.7,9.0,13.7,1.4,1.2,2.9,3.3,5.7,6.3,10.6,0.0,6.3,https://www.basketball-reference.com/international/players/ariel-hukporti-1.html,
63,"Jones, Isaac",C,Washington State,7/11/00,23.98,"6'9""","7'3""",235,"10.25""","9'0""",29.00,35.0,11.49,3.00,3.38,65,62.57,59,69,57,63,70,67,53,35,34,31.7,15.3,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,5.7,9.9,0.575,5.7,9.5,0.596,0.0,0.4,0.071,3.9,5.5,0.712,0.749,17.4,2.6,6.0,8.6,1.7,0.6,1.2,2.2,2.3,6.5,10.8,0.5,6.2,https://www.sports-reference.com/cbb/players/isaac-jones-3.html,
64,"Beekman, Reece",PG,Virginia,10/8/01,22.74,"6'2.5""","6'6.5""",196,"9""","8'4""",30.00,36.5,10.86,3.08,2.94,66,63.29,70,61,65,65,62,67,53,34,34,32.8,14.3,0.4,3.3,3.6,6.2,2.0,0.5,2.1,1.3,5.3,11.9,0.443,4.4,9.0,0.487,0.9,2.9,0.310,2.8,3.7,0.754,0.585,15.7,0.4,3.6,4.0,6.8,2.2,0.5,2.3,1.4,5.8,9.9,3.2,4.1,https://www.sports-reference.com/cbb/players/reece-beekman-1.html,
65,"Dante, N'Faly",C,Oregon,10/19/01,22.71,"6'11.25""","7'6""",260,"10""","9'3""",27.00,33.0,11.55,3.04,3.23,67,64.14,68,63,62,66,70,67,53,22,21,31.5,17.0,2.8,6.4,9.2,1.6,1.7,1.9,2.4,2.1,7.0,10.0,0.695,7.0,10.0,0.695,0.0,0.0,0.000,3.1,5.0,0.613,0.828,19.4,3.2,7.3,10.5,1.8,1.9,2.2,2.7,2.4,8.0,11.4,0.0,5.7,https://www.sports-reference.com/cbb/players/nfaly-dante-1.html,
66,"Pullin, Zyon",PG,Florida,3/3/01,23.34,"6'4""","6'6""",210,,,,,,,,68,66.57,82,62,72,77,53,67,53,33,27,33.5,15.5,0.7,3.2,3.9,4.9,0.9,0.1,1.3,2.0,4.8,10.8,0.444,3.7,8.4,0.442,1.1,2.4,0.449,4.9,5.8,0.847,0.694,16.7,0.8,3.4,4.2,5.3,1.0,0.1,1.4,2.1,5.2,9.0,2.6,6.2,https://www.sports-reference.com/cbb/players/zyon-pullin-1.html,
67,"Mintz, Judah",PG,Syracuse,7/10/03,20.99,"6'4""","6'4""",176,,,,,,,,69,67.14,81,74,67,67,61,67,53,32,31,33.9,18.8,0.5,2.8,3.2,4.4,2.1,0.1,2.9,2.2,5.9,13.4,0.438,5.1,10.8,0.477,0.8,2.7,0.282,6.3,8.3,0.765,0.684,20.0,0.5,3.0,3.4,4.7,2.2,0.1,3.1,2.3,6.3,11.5,2.9,8.8,https://www.sports-reference.com/cbb/players/judah-mintz-1.html,
68,"Rubstavicius, Mantas",SF,Australia,5/6/02,22.16,"6'7""","6'7""",190,,,,,,,,70,67.43,64,66,83,69,70,67,53,23,,19.8,9.5,0.7,1.5,2.1,1.1,0.8,0.1,1.0,2.5,3.2,6.0,0.525,1.9,3.1,0.611,1.3,2.9,0.433,1.9,2.3,0.811,0.747,17.3,1.3,2.7,3.8,2.0,1.5,0.2,1.8,4.5,5.8,5.6,5.3,4.2,https://www.basketball-reference.com/international/players/mantas-rubstavicius-1.html,
69,"Hinson, Blake",SF,Pittsburgh,12/26/99,24.53,"6'7""","6'10""",230,,,,,,,,71,68.43,73,71,68,77,70,67,53,33,33,33.6,18.5,0.9,3.5,4.4,0.8,0.5,0.2,1.3,2.2,6.1,13.4,0.454,2.8,5.5,0.500,3.3,7.9,0.421,2.9,4.4,0.669,0.675,19.8,1.0,3.8,4.7,0.9,0.5,0.2,1.4,2.4,6.5,5.9,8.5,4.7,https://www.sports-reference.com/cbb/players/blake-hinson-1.html,
70,"Traore, Armel",PF,France,1/23/03,21.45,"6'9""","7'3""",210,,,,,,,,72,68.43,65,76,71,77,70,67,53,33,,25.5,10.8,2.4,5.0,7.3,1.5,0.6,0.3,1.7,2.3,4.2,7.7,0.541,3.7,5.9,0.629,0.5,1.8,0.262,1.9,3.0,0.646,0.676,15.2,3.4,7.1,10.3,2.1,0.8,0.4,2.4,3.2,5.9,8.3,2.5,4.2,https://www.basketball-reference.com/international/players/armel-traore-1.html,
71,"Edwards, Jesse",C,West Virginia,3/18/00,24.30,7' 0.75'',7' 5.00'',236,10,9' 3.00'',30.50,35.5,11.24,3.23,3.33,73,68.57,69,70,74,77,70,67,53,23,22,28.2,15.0,3.2,4.9,8.0,1.2,0.6,1.7,1.9,3.0,5.8,9.4,0.613,5.8,9.3,0.624,0.0,0.2,0.000,3.5,6.7,0.523,0.779,19.1,4.1,6.3,10.2,1.5,0.8,2.2,2.4,3.8,7.4,11.9,0.3,8.6,https://www.sports-reference.com/cbb/players/jesse-edwards-1.html,
72,"Watson, Anton",PF,Gonzaga,10/6/00,23.75,"6'8""","7'0""",241,,,,,,,,74,69.86,75,64,83,77,70,67,53,35,35,31.3,14.5,2.2,4.9,7.1,2.6,1.5,0.7,1.4,2.3,5.8,10.0,0.578,5.2,8.6,0.607,0.6,1.5,0.412,2.3,3.5,0.653,0.705,16.7,2.5,5.6,8.2,3.0,1.7,0.8,1.6,2.6,6.7,9.9,1.7,4.0,https://www.sports-reference.com/cbb/players/anton-watson-1.html,
73,"Minix, Riley",SF,Morehead State,1/1/00,24.51,"6'8""","6'10""",227,,,,,,,,75,69.86,71,68,83,77,70,67,53,35,35,33.8,20.9,3.0,6.6,9.7,2.2,1.3,1.0,2.3,2.3,7.8,14.4,0.541,6.1,9.5,0.638,1.7,4.8,0.349,3.7,4.4,0.839,0.708,22.3,3.2,7.0,10.3,2.3,1.4,1.1,2.4,2.4,8.3,10.1,5.1,4.7,https://www.sports-reference.com/cbb/players/riley-minix-1.html,
74,"Jones, Spencer",SF,Stanford,6/14/01,23.06,"6'7""",,225,,,,,,,,76,71.43,72,78,83,77,70,67,53,25,24,29.1,11.7,1.2,2.9,4.1,2.0,1.4,0.8,1.3,2.4,4.0,9.0,0.438,1.8,3.8,0.479,2.2,5.3,0.409,1.6,2.5,0.645,0.630,14.5,1.5,3.6,5.1,2.5,1.7,1.0,1.6,3.0,4.9,4.7,6.6,3.1,https://www.sports-reference.com/cbb/players/spencer-jones-1.html,
75,"Williams, Jaylin",PF,Auburn,7/26/00,23.94,"6'8""","7'0""",230,,,,,,,,77,71.71,84,81,70,77,70,67,53,34,33,24.1,12.4,1.1,3.4,4.4,1.9,0.7,0.7,1.1,1.8,4.5,7.8,0.574,3.5,5.3,0.659,1.0,2.5,0.395,2.5,3.0,0.832,0.759,18.5,1.6,5.1,6.6,2.8,1.0,1.0,1.6,2.7,6.7,7.9,3.7,4.5,https://www.sports-reference.com/cbb/players/jaylin-williams-1.html,
76,"Stevens, Isaiah",PG,Colorado State,11/1/00,23.68,"6'0""","6'4""",180,,,,,,,,78,71.86,86,67,83,77,70,67,53,36,36,34.8,16.0,0.5,2.7,3.2,6.8,1.2,0.2,2.4,1.4,5.8,12.3,0.474,4.0,8.1,0.491,1.8,4.2,0.440,2.6,3.1,0.836,0.632,16.6,0.5,2.8,3.3,7.0,1.2,0.2,2.5,1.4,6.0,8.4,4.3,3.2,https://www.sports-reference.com/cbb/players/isaiah-stevens-1.html,
77,"Ellis, Boogie",PG,USC,12/12/00,23.56,6' 2'',6' 7.00'',185,10,8' 2.00'',31.50,39.5,11.98,3.33,3.19,79,72.14,78,77,83,77,70,67,53,29,29,33.5,16.5,0.3,3.2,3.5,3.0,1.4,0.1,1.8,1.9,5.6,13.1,0.427,2.6,5.9,0.439,3.0,7.2,0.418,2.3,3.2,0.720,0.615,17.7,0.3,3.4,3.8,3.2,1.5,0.1,1.9,2.0,6.0,6.3,7.7,3.4,https://www.sports-reference.com/cbb/players/boogie-ellis-1.html,
78,"Miller, Emanuel",PG,TCU,6/19/00,24.04,"6'7""","6'9""",208,,,,,,,,80,72.86,80,80,83,77,70,67,53,34,34,32.6,15.8,2.2,3.9,6.1,2.6,1.1,0.4,1.5,1.6,5.6,11.4,0.486,4.6,9.1,0.513,0.9,2.4,0.383,3.8,4.6,0.815,0.672,17.4,2.4,4.3,6.7,2.9,1.2,0.4,1.7,1.8,6.2,10.0,2.7,5.1,https://www.sports-reference.com/cbb/players/emanuel-miller-1.html,
79,"Jones, David",SF,Memphis,11/24/01,22.61,"6'4.75""","6'6.75""",211,"9.5""","8'4""",28.00,34.5,11.08,3.30,3.20,81,73.14,79,83,83,77,70,67,53,32,32,32.3,21.8,2.6,5.1,7.6,1.8,2.2,0.4,3.0,2.0,7.0,15.2,0.459,4.5,8.7,0.518,2.5,6.5,0.380,5.4,6.8,0.797,0.701,24.3,2.9,5.7,8.5,2.0,2.5,0.4,3.3,2.2,7.8,9.7,7.2,7.6,https://www.sports-reference.com/cbb/players/david-jones-10.html,
80,"Disu, Dylan",PF,Texas,11/12/00,23.65,"6'9""",,225,,,,,,,,82,73.14,74,88,83,77,70,67,53,25,20,25.8,15.5,1.0,4.0,5.0,1.5,1.3,1.1,1.6,3.4,5.6,12.0,0.465,3.9,8.3,0.471,1.6,3.6,0.451,2.8,3.4,0.812,0.627,21.6,1.4,5.6,7.0,2.1,1.8,1.5,2.2,4.7,7.8,11.6,5.0,4.7,https://www.sports-reference.com/cbb/players/dylan-disu-1.html,
81,"Ellis, Quinn",PG,Italy,4/1/03,21.26,"6'4""",,194,,,,,,,,83,73.29,76,87,83,77,70,67,53,22,,21.7,6.3,0.7,2.1,2.9,2.8,0.9,0.2,1.8,2.5,2.1,5.9,0.354,1.3,3.1,0.406,0.8,2.8,0.295,1.3,2.0,0.659,0.509,10.5,1.2,3.5,4.8,4.6,1.5,0.3,3.0,4.1,3.5,5.1,4.6,3.3,https://www.basketball-reference.com/international/players/quinn-ellis-1.html,
82,"Domask, Marcus",PG,Illinois,6/9/00,24.07,"6'6""","6'7""",215,,,,,,,,84,73.71,83,93,73,77,70,67,53,38,38,34.5,15.9,1.1,3.9,5.0,3.9,0.4,0.3,2.3,1.3,5.7,12.6,0.453,4.6,8.9,0.516,1.1,3.6,0.297,3.4,3.9,0.872,0.612,16.6,1.1,4.1,5.2,4.1,0.4,0.3,2.4,1.4,5.9,9.3,3.8,4.1,https://www.sports-reference.com/cbb/players/marcus-domask-1.html,
83,"LeDee, Jaedon",SF,San Diego State,7/25/99,24.94,"6'9""","6'11""",240,,,,,,,,85,74.86,88,86,83,77,70,67,53,36,36,32.6,21.4,3.4,5.0,8.4,1.3,1.2,0.5,2.4,2.4,7.3,13.1,0.560,6.8,11.8,0.572,0.6,1.3,0.444,6.3,8.6,0.734,0.797,23.6,3.8,5.5,9.3,1.4,1.3,0.6,2.7,2.7,8.1,13.0,1.4,9.5,https://www.sports-reference.com/cbb/players/jaedon-ledee-1.html,
84,"Kraag, Yannick",SF,Spain,10/16/02,21.72,"6'8""",,190,,,,,,,,86,75.00,96,79,83,77,70,67,53,32,,15.8,4.6,1.1,2.2,3.2,0.4,0.6,0.2,0.5,1.7,1.7,3.7,0.466,1.2,2.1,0.559,0.5,1.6,0.340,0.7,1.1,0.600,0.580,10.5,2.5,5.0,7.3,0.9,1.4,0.5,1.1,3.9,3.9,4.8,3.6,2.5,https://www.basketball-reference.com/international/players/yannick-kraag-1.html,
85,"Carlson, Branden",C,Utah,6/14/99,25.06,"7'0""","7'1""",220,,,,,,,,87,75.14,91,85,83,77,70,67,53,36,36,29.6,17.0,1.5,5.1,6.6,1.6,0.4,1.5,1.5,1.9,6.4,12.9,0.501,4.7,8.2,0.571,1.8,4.7,0.379,2.4,3.3,0.714,0.643,20.7,1.8,6.2,8.0,1.9,0.5,1.8,1.8,2.3,7.8,10.0,5.7,4.0,https://www.sports-reference.com/cbb/players/branden-carlson-1.html,
86,"Leons, Malevy",PF,Bradley,9/23/99,24.78,"6'9""","7'1""",201,,,,,,,,88,75.43,94,84,83,77,70,67,53,35,35,34.4,13.8,2.4,4.7,7.1,1.3,1.5,1.5,1.7,2.8,4.5,9.2,0.488,3.3,5.6,0.582,1.2,3.6,0.341,3.6,4.6,0.783,0.723,14.4,2.5,4.9,7.4,1.4,1.6,1.6,1.8,2.9,4.7,5.9,3.8,4.8,https://www.sports-reference.com/cbb/players/malevy-leons-1.html,
87,"Gaines, Eric",PG,UAB,1/19/01,23.46,"6'0""","6'8""",148,,,,,,,,89,76.14,93,90,83,77,70,67,53,35,33,33.7,12.3,0.7,3.2,3.9,5.5,2.3,0.5,2.4,2.1,4.1,10.4,0.393,3.0,6.3,0.475,1.1,4.1,0.269,3.0,4.0,0.750,0.573,13.1,0.7,3.4,4.2,5.9,2.5,0.5,2.6,2.2,4.4,6.7,4.4,4.3,https://www.sports-reference.com/cbb/players/eric-gaines-4.html,
88,"Battle, Jamison",SF,Ohio State,5/10/01,23.15,"6'7""","6'9""",220,,,,,,,,90,76.14,87,96,83,77,70,67,53,35,35,31.4,15.3,1.2,4.0,5.2,1.4,0.4,0.2,1.6,2.0,5.1,10.9,0.469,2.5,4.9,0.512,2.6,6.0,0.433,2.5,2.7,0.926,0.677,17.5,1.4,4.6,6.0,1.6,0.5,0.2,1.8,2.3,5.8,5.6,6.9,3.1,https://www.sports-reference.com/cbb/players/jamison-battle-1.html,
89,"Armstrong, Taran",PG,Australia,1/15/02,22.47,"6'5""","6'6""",190,,,,,,,,91,76.29,109,75,83,77,70,67,53,23,,21.7,7.7,0.6,3.4,4.0,2.7,0.7,0.1,1.5,2.6,2.7,5.8,0.463,2.3,4.3,0.535,0.4,1.5,0.257,1.9,2.7,0.698,0.630,12.8,1.0,5.6,6.6,4.5,1.2,0.2,2.5,4.3,4.5,7.1,2.5,4.5,https://www.basketball-reference.com/international/players/taran-armstrong-1.html,
90,"Tomlin, NaeQwon",PF,Memphis,1/1/01,23.51,"6' 9.5""",7' 2.50'',205,10,9' 1.00'',27.50,32.5,11.63,3.54,3.43,92,76.57,77,109,83,77,70,67,53,21,11,26.9,14.0,2.3,3.7,6.0,0.7,0.8,1.1,1.0,3.1,5.4,9.0,0.601,4.4,6.4,0.681,1.0,2.5,0.396,2.3,3.0,0.774,0.749,18.7,3.1,5.0,8.0,0.9,1.1,1.5,1.3,4.1,7.2,8.6,3.3,4.0,https://www.sports-reference.com/cbb/players/naeqwan-tomlin-1.html,
91,"James, Josiah-Jordan",SF,Tennessee,9/5/00,23.83,"6'7""","6'11""",213,,,,,,,,93,77.14,92,98,83,77,70,67,53,36,36,29.2,8.4,1.6,4.8,6.4,1.9,1.4,0.6,1.0,2.0,2.8,6.9,0.402,1.6,3.4,0.463,1.2,3.5,0.341,1.6,2.0,0.831,0.578,10.4,2.0,5.9,7.9,2.3,1.7,0.7,1.2,2.5,3.5,4.2,4.3,2.5,https://www.sports-reference.com/cbb/players/josiah-jordan-james-1.html,
92,"Mitchell, Tre",PF,Kentucky,9/24/00,23.78,"6'9""",,225,,,,,,,,94,77.71,85,109,83,77,70,67,53,27,24,30.3,10.7,1.8,5.4,7.2,2.6,0.7,1.0,1.4,2.6,3.8,7.9,0.484,2.9,4.9,0.595,0.9,3.0,0.305,2.1,2.9,0.744,0.650,12.7,2.1,6.4,8.6,3.1,0.8,1.2,1.7,3.1,4.5,5.8,3.6,3.4,https://www.sports-reference.com/cbb/players/tre-mitchell-1.html,
93,"Flanigan, Allen",SG,Mississippi,4/24/01,23.20,"6'6""","6'9""",215,,,,,,,,95,77.86,109,94,75,77,70,67,53,32,29,30.7,14.8,1.2,4.8,6.1,2.8,1.5,0.7,2.3,2.5,5.0,11.5,0.434,4.5,9.8,0.462,0.5,1.7,0.273,4.3,5.3,0.817,0.624,17.4,1.4,5.6,7.2,3.3,1.8,0.8,2.7,2.9,5.9,11.5,2.0,6.2,https://www.sports-reference.com/cbb/players/allen-flanigan-1.html,
94,"Enaruna, Tristan",PF,Cleveland State,6/26/01,23.03,"6'9""","7'1""",216,,,,,,,,96,78.14,98,99,83,77,70,67,53,35,35,33.2,19.6,2.4,4.1,6.5,2.7,1.2,0.9,1.9,1.9,7.2,14.5,0.498,6.4,12.0,0.535,0.8,2.5,0.322,4.4,6.1,0.721,0.661,21.3,2.6,4.4,7.0,2.9,1.3,1.0,2.1,2.1,7.8,13.0,2.7,6.6,https://www.sports-reference.com/cbb/players/tristan-enaruna-1.html,
95,"Estrada, Aaron",PG,Alabama,2/3/01,23.42,"6'3""","6'5""",207,,,,,,,,97,78.29,109,89,83,77,70,67,53,37,37,30.9,13.4,1.6,3.8,5.4,4.6,1.6,0.2,2.3,2.0,5.3,11.9,0.449,4.0,7.5,0.527,1.4,4.3,0.313,1.4,1.6,0.847,0.546,15.6,1.9,4.4,6.3,5.4,1.9,0.2,2.7,2.3,6.2,8.7,5.0,1.9,https://www.sports-reference.com/cbb/players/aaron-estrada-1.html,
96,"Sane, Babacar",SF,G-League Ignite,9/13/03,20.81,"6'7""",,240,,,,,,,,98,78.29,89,109,83,77,70,67,53,23,8,22.5,11.0,1.5,4.4,5.8,0.5,0.5,0.5,1.7,3.2,3.8,8.4,0.454,3.4,6.6,0.511,0.5,1.9,0.256,1.6,2.4,0.685,0.628,17.5,2.4,7.0,9.3,0.8,0.8,0.8,2.7,5.1,6.1,10.5,3.0,3.8,https://basketball.realgm.com/player/Babacar-Sane/Summary/153120,
97,"Ducas, Alex",SG,Saint Mary's,12/11/00,23.57,"6'7""",,220,,,,,,,,99,78.43,90,109,83,77,70,67,53,34,34,28.1,9.9,0.9,4.7,5.6,1.9,0.7,0.2,1.0,1.3,3.4,7.5,0.453,1.0,2.0,0.493,2.4,5.4,0.438,0.7,0.9,0.774,0.631,12.7,1.2,6.0,7.2,2.4,0.9,0.3,1.3,1.7,4.4,2.6,6.9,1.2,https://www.sports-reference.com/cbb/players/alex-ducas-1.html,
98,"Brooks, Keion",SF,Washington State,8/7/00,23.91,"6'7""","6'10""",205,,,,,,,,100,78.57,109,91,83,77,70,67,53,32,32,35.0,21.1,1.5,5.4,6.8,1.4,0.7,0.8,1.9,2.3,7.1,14.6,0.487,5.5,10.3,0.532,1.6,4.3,0.380,5.2,6.5,0.794,0.706,21.7,1.5,5.6,7.0,1.4,0.7,0.8,2.0,2.4,7.3,10.6,4.4,6.7,https://www.sports-reference.com/cbb/players/keion-brooksjr-1.html,
