Rank,name,Position,School,Birthday,Age,Height,Weight (lbs),Wingspan,Hand Width,Reach,Lane (sec),Shuttle (sec),3/4 Sprint (sec),Max Vertical,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,GP,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
49,"Johnson, Keyontae",SF,Kansas State,5/24/00,24.11,"6'5""",239,"7'0""","9""","8'7""",,,,,51,55.25,45,40,119,54,46,44,48,46,36,34.1,17.4,1.5,5.3,6.8,2.1,1.0,0.2,2.9,2.4,6.6,12.7,0.520,5.3,9.5,0.558,1.3,3.2,0.406,3.0,4.2,0.714,1.030,18.4,1.6,5.6,7.2,2.2,1.1,0.2,3.1,2.5,7.0,10.0,3.4,4.4,https://www.sports-reference.com/cbb/players/keyontae-johnson-1.html
50,"Wong, Isaiah",SG,Miami,1/28/01,23.44,"6'3""",178,"6'7""","9.5""","8'1.5""",10.93,,3.22,37.0,52,55.50,65,39,59,38,60,61,61,61,37,33.4,16.2,1.1,3.3,4.4,3.2,1.4,0.4,2.1,1.8,5.2,11.6,0.448,3.6,7.3,0.493,1.6,4.3,0.372,4.1,4.9,0.837,1.101,17.5,1.2,3.6,4.7,3.4,1.5,0.4,2.3,1.9,5.6,7.9,4.6,5.3,https://www.sports-reference.com/cbb/players/isaiah-wong-1.html
51,"Bates, Emoni",SF,Eastern Michigan,1/28/04,20.44,"6'9""",179,"6'9""","8.25""","8'9""",11.54,,3.49,32.5,53,55.63,50,51,69,53,53,59,61,49,30,33.8,19.2,0.7,5.1,5.8,1.4,0.7,0.5,2.5,2.3,6.4,15.9,0.403,3.9,8.2,0.476,2.5,7.7,0.325,3.8,4.9,0.776,1.122,20.4,0.7,5.4,6.2,1.5,0.7,0.5,2.7,2.4,6.8,8.7,8.2,5.2,https://www.sports-reference.com/cbb/players/emoni-bates-1.html
52,"Camara, Toumani",PF,Dayton,5/8/00,24.16,"6'8""",220,"7'0""","10""","8'11""",10.70,3.18,3.41,33.0,54,55.75,52,56,67,51,55,55,49,61,34,30.0,13.9,2.3,6.3,8.6,1.7,1.2,0.8,2.1,2.6,5.2,9.6,0.542,4.3,7.2,0.597,0.9,2.4,0.375,2.6,3.9,0.667,1.005,16.7,2.8,7.6,10.3,2.0,1.4,1.0,2.5,3.1,6.2,8.6,2.9,4.7,https://www.sports-reference.com/cbb/players/toumani-camara-1.html
53,"Tyson, Hunter",SF,Clemson,6/3/00,24.09,"6'8""",215,"6'10""",,,,,,,55,56.50,49,64,49,60,57,51,61,61,34,34.7,15.3,1.3,8.3,9.6,1.5,0.9,0.1,1.0,1.8,5.1,10.6,0.481,2.7,4.6,0.587,2.4,6.0,0.400,2.7,3.3,0.818,1.168,15.9,1.3,8.6,10.0,1.6,0.9,0.1,1.0,1.9,5.3,4.8,6.2,3.4,https://www.sports-reference.com/cbb/players/tyson-hunter-1.html
54,"Livingston, Chris",SF,Kentucky,10/15/03,20.72,"6'6""",219,"6'11""","9""","8'8.5""",11.65,,3.27,37.0,56,57.63,54,61,60,65,54,45,61,61,34,22.4,6.3,1.1,3.1,4.2,0.7,0.4,0.4,0.9,1.7,2.3,5.4,0.426,1.8,3.7,0.486,0.5,1.7,0.294,1.1,1.6,0.688,1.049,10.1,1.8,5.0,6.8,1.1,0.6,0.6,1.4,2.7,3.7,5.9,2.7,2.6,https://www.sports-reference.com/cbb/players/chris-livingston-1.html
55,"Gueye, Mouhamed",C,Washington State,11/9/02,21.66,"6'11""",213,"7'3""","10""","9'2.5""",,,,,57,60.00,46,91,63,57,48,53,61,61,33,32.1,14.3,3.4,5.0,8.4,1.9,0.8,0.8,2.3,2.8,5.6,11.5,0.487,5.3,10.3,0.515,0.3,1.2,0.250,2.7,4.0,0.675,0.971,16.0,3.8,5.6,9.4,2.1,0.9,0.9,2.6,3.1,6.3,11.6,1.3,4.5,https://www.sports-reference.com/cbb/players/mouhamed-gueye-1.html
56,"Flagler, Adam",PG,Baylor,12/1/99,24.59,"6'3""",192,"6'4.5""","9.25""","8'1""",10.96,,3.24,36.0,58,60.38,63,43,52,64,65,74,61,61,32,33.8,15.6,0.3,2.1,2.4,4.6,1.2,0.1,1.7,2.0,5.3,12.3,0.431,2.8,6.0,0.467,2.5,6.3,0.397,2.6,3.3,0.788,1.155,16.6,0.3,2.2,2.6,4.9,1.3,0.1,1.8,2.1,5.6,6.4,6.7,3.5,https://www.sports-reference.com/cbb/players/adam-flagler-1.html
57,"Castleton, Colin",PF,Florida,5/25/00,24.11,"6'11""",231,"7'2""",,,,,,,59,61.38,56,95,45,59,56,58,61,61,26,31.2,16.0,1.8,5.9,7.7,2.7,0.9,3.0,2.5,2.1,5.8,11.5,0.504,5.7,10.9,0.523,0.1,0.6,0.167,4.3,6.0,0.717,0.948,18.5,2.1,6.8,8.9,3.1,1.0,3.5,2.9,2.4,6.7,12.6,0.7,6.9,https://www.sports-reference.com/cbb/players/colin-castleton-1.html
58,"Pickett, Jalen",PG,Penn State,10/22/99,24.70,"6'4""",198,"6'7""","7.5""","8'2.5""",11.91,3.33,3.35,33.0,60,61.38,64,54,55,77,59,60,61,61,37,36.6,17.7,1.2,6.2,7.4,6.6,0.9,0.5,2.3,2.1,7.0,13.8,0.507,5.8,10.6,0.547,1.2,3.2,0.375,2.4,3.2,0.750,1.053,17.4,1.2,6.1,7.3,6.5,0.9,0.5,2.3,2.1,6.9,10.4,3.1,3.1,https://www.sports-reference.com/cbb/players/jalen-pickett-1.html
59,"Moore, Omari",SG,San Jose State,9/18/00,23.80,"6'6""",189,"6'10""","10.25""","9'1.5""",10.80,,3.22,29.5,61,61.88,62,70,44,62,61,74,61,61,35,36.5,17.4,0.9,3.9,4.8,4.8,0.7,0.7,2.6,1.2,6.3,14.8,0.426,4.4,9.1,0.484,1.9,5.7,0.333,2.8,3.7,0.757,1.097,17.2,0.9,3.8,4.7,4.7,0.7,0.7,2.6,1.2,6.2,9.0,5.6,3.6,https://www.sports-reference.com/cbb/players/omari-moore-1.html
60,"Tshiebwe, Oscar",C,Kentucky,11/27/99,24.61,"6'9""",254,7'3.5,"10.25""","9'0""",12.26,,3.32,32.5,62,62.50,60,63,72,63,58,62,61,61,32,33.6,16.5,5.8,7.9,13.7,1.6,1.6,1.0,2.0,2.9,6.1,10.9,0.560,6.1,10.8,0.565,0.0,0.1,0.000,4.3,5.9,0.729,0.949,17.7,6.2,8.5,14.7,1.7,1.7,1.1,2.1,3.1,6.5,11.6,0.1,6.3,https://www.sports-reference.com/cbb/players/oscar-tshiebwe-1.html
61,"King, Mojave",SG,G-League Ignite,6/11/02,22.07,"6'5""",201,"6'8""","9.5""","8'5""",11.07,,3.18,33.5,63,62.75,66,58,64,55,63,74,61,61,30,25.1,8.1,1.0,3.7,4.7,1.2,0.4,0.3,0.8,1.5,2.9,7.1,0.408,2.6,4.8,0.542,0.3,2.3,0.130,1.0,1.2,0.833,1.181,11.6,1.4,5.3,6.7,1.7,0.6,0.4,1.1,2.2,4.2,6.9,3.3,1.7,https://www.basketball-reference.com/gleague/players/k/kingmo01d.html
62,"Tubelis, Azuolas",PF,Arizona,3/22/02,22.29,"6'11""",235,"6'11""","10.5""","9'0""",11.17,,3.50,30.5,64,62.75,61,50,65,66,64,74,61,61,35,30.1,19.8,2.7,6.5,9.2,2.0,1.1,0.7,2.4,2.8,7.8,13.7,0.569,7.5,12.8,0.586,0.3,0.9,0.333,3.9,5.1,0.765,0.986,23.7,3.2,7.8,11.0,2.4,1.3,0.8,2.9,3.3,9.3,15.3,1.1,6.1,https://www.sports-reference.com/cbb/players/azuolas-tubelis-1.html
63,"Slawson, Jalen",PF,Furman,10/22/99,24.70,"6'7""",222,"7'0""","9""","8'10""",11.26,,3.29,33.0,65,64.00,72,65,56,61,82,54,61,61,36,30.7,15.6,1.8,5.3,7.1,3.2,1.5,1.5,2.6,2.8,5.4,9.6,0.563,4.3,6.7,0.642,1.1,2.9,0.379,3.7,4.8,0.771,1.038,18.3,2.1,6.2,8.3,3.8,1.8,1.8,3.0,3.3,6.3,7.9,3.4,5.6,https://www.sports-reference.com/cbb/players/jalen-slawson-1.html
64,"Timme, Drew",C,Gonzaga,9/9/00,23.82,"6'10""",243,"7'2""","10""","9'0.5""",10.93,,3.34,30.5,66,64.38,68,59,57,67,68,74,61,61,37,31.5,21.2,2.6,5.0,7.6,3.2,0.6,1.0,2.6,2.2,8.5,13.7,0.620,8.4,13.1,0.641,0.1,0.6,0.167,4.2,6.7,0.627,0.926,24.2,3.0,5.7,8.7,3.7,0.7,1.1,3.0,2.5,9.7,15.0,0.7,7.7,https://www.sports-reference.com/cbb/players/drew-timme-1.html
65,"Miles Jr, Mike",PG,TCU,8/24/02,21.86,"6'1""",205,"6'0.5""","8.25""","8'0""",11.01,3.25,3.11,37.0,67,65.50,59,71,62,69,67,74,61,61,27,31.9,17.9,0.2,2.5,2.7,2.7,1.2,0.3,2.6,2.1,5.9,11.8,0.500,4.5,7.9,0.570,1.4,3.9,0.359,4.7,6.3,0.746,1.032,20.2,0.2,2.8,3.0,3.0,1.4,0.3,2.9,2.4,6.7,8.9,4.4,7.1,https://www.sports-reference.com/cbb/players/mike-miles-4.html
66,"Bediako, Charles",C,Alabama,3/10/02,22.32,"7'0""",225,"7'2""",,,,,,,68,66.88,58,88,71,73,66,57,61,61,37,20.7,6.4,2.7,3.3,6.0,0.6,0.6,1.8,0.8,3.0,2.9,4.4,0.659,2.9,4.2,0.690,0.0,0.2,0.000,0.6,1.7,0.353,0.877,11.1,4.7,5.7,10.4,1.0,1.0,3.1,1.4,5.2,5.0,7.3,0.3,3.0,https://www.sports-reference.com/cbb/players/charles-bediako-1.html
67,"Evbuomwan, Tosan",SF,Princteton,2/16/01,23.39,"6'7""",209,"6'11""",,,,,,,69,67.88,71,62,74,58,82,74,61,61,32,31.3,15.1,1.7,4.6,6.3,4.9,0.8,0.6,2.9,2.3,5.8,11.3,0.513,5.5,10.2,0.539,0.3,1.1,0.273,3.0,4.6,0.652,0.965,17.4,2.0,5.3,7.2,5.6,0.9,0.7,3.3,2.6,6.7,11.7,1.3,5.3,https://www.sports-reference.com/cbb/players/tosan-evbuomwan-1.html
68,"Gortman, Jazian",PG,Overtime Elite,4/14/03,21.23,"6'2""",184,"6'10""",,,,,,,70,68.63,75,52,88,56,82,74,61,61,17,26.9,13.9,,,4.8,3.9,2.5,0.1,3.2,3.2,4.8,10.6,0.453,3.3,5.9,0.559,1.5,4.7,0.319,2.8,3.5,0.800,1.096,18.6,,,6.4,5.2,3.3,0.1,4.3,4.3,6.4,7.9,6.3,4.7,https://overtimeelite.com/players/bc686101-9cf2-4bab-8f56-f16fb7496e1e
69,"Cazalon, Malcolm",SG,Serbia,8/27/01,22.86,"6'6""",186,"6'11""",,,,,,,71,70.75,69,68,83,80,70,74,61,61,27,25.7,11.0,0.6,2.7,3.3,2.6,1.7,0.2,1.9,2.7,3.9,8.5,0.454,2.5,4.4,0.571,1.3,4.1,0.327,2.0,2.5,0.790,1.113,15.4,0.8,3.8,4.6,3.6,2.3,0.3,2.6,3.8,5.4,6.2,5.7,3.5,https://basketball.realgm.com/player/Malcolm-Cazalon/Summary/108580
70,"Hifi, Nadir",PG,France,7/16/02,21.97,"6'3""",180,,,,,,,,72,70.88,67,80,54,108,62,74,61,61,33,30.5,16.8,0.5,2.2,2.7,3.4,1.3,0.0,2.1,2.6,5.6,12.1,0.463,3.8,6.7,0.567,1.8,5.4,0.333,3.8,6.7,0.567,0.983,19.8,0.6,2.6,3.2,4.0,1.5,0.0,2.5,3.1,6.6,7.9,6.4,7.9,https://www.basketball-reference.com/international/players/nadir-hifi-1.html
71,"Nolley III, Landers",SF,Cincinatti,3/5/00,24.33,"6'7""",220,,,,,,,,73,72.00,80,78,70,70,82,74,61,61,36,32.1,16.8,1.3,4.5,5.8,2.6,1.0,0.5,2.2,2.3,5.9,13.2,0.447,3.2,6.8,0.471,2.7,6.4,0.422,2.3,3.1,0.742,1.156,18.8,1.5,5.0,6.5,2.9,1.1,0.6,2.5,2.6,6.6,7.6,7.2,3.5,https://www.sports-reference.com/cbb/players/landers-nolleyii-1.html
72,"Rice, Sir'Jabari",SG,Texas,12/28/98,25.52,"6'4""",180,,,,,,,,74,72.50,74,96,61,71,82,74,61,61,38,25.3,13.0,0.7,2.8,3.5,2.0,0.9,0.3,1.5,2.0,4.2,9.0,0.467,2.5,4.5,0.556,1.7,4.5,0.378,3.0,3.4,0.882,1.141,18.5,1.0,4.0,5.0,2.8,1.3,0.4,2.1,2.8,6.0,6.4,6.4,4.8,https://www.sports-reference.com/cbb/players/jabari-rice-1.html
73,"Peterson, Drew",SG,USC,11/9/99,24.66,"6'8""",185,"6'9""",,,,,,,75,74.63,70,73,92,84,82,74,61,61,33,35.9,13.9,0.9,5.4,6.3,4.3,1.1,0.8,2.7,1.7,5.0,11.2,0.446,3.5,7.1,0.493,1.5,4.1,0.366,2.5,3.3,0.758,1.077,13.9,0.9,5.4,6.3,4.3,1.1,0.8,2.7,1.7,5.0,7.1,4.1,3.3,https://www.sports-reference.com/cbb/players/drew-peterson-1.html
74,"Robbins, Liam",C,Vanderbilt,7/12/99,24.98,"7'0""",235,,,,,,,,76,75.50,73,119,66,68,82,74,61,61,26,23.0,15.0,2.5,4.3,6.8,1.0,0.3,3.2,1.6,2.5,4.7,9.4,0.500,4.0,7.4,0.541,0.7,2.0,0.350,4.8,6.6,0.727,0.986,23.5,3.9,6.7,10.6,1.6,0.5,5.0,2.5,3.9,7.4,11.6,3.1,10.3,https://www.sports-reference.com/cbb/players/liam-robbins-1.html
75,"Hodge, D'Moi",SF,Missouri,12/20/98,25.54,"6'4""",180,"6'5.5""",,,,,,,77,75.88,83,89,82,75,82,74,61,61,35,29.1,14.7,0.7,3.1,3.8,1.6,2.6,0.5,0.8,2.5,5.1,10.7,0.477,2.2,3.6,0.611,2.9,7.1,0.408,1.7,2.3,0.739,1.203,18.2,0.9,3.8,4.7,2.0,3.2,0.6,1.0,3.1,6.3,4.5,8.8,2.8,https://www.sports-reference.com/cbb/players/dmoi-hodge-1.html
76,"Martin, Jaylen",SF,Overtime Elite,1/28/04,20.44,"6'6""",196,"6'10""",,,,,,,78,77.13,96,87,73,83,82,74,61,61,10,23.3,14.0,,,5.9,1.4,1.6,0.7,0.9,2.1,4.4,11.7,0.376,2.8,5.7,0.491,1.6,6.0,0.267,3.6,4.7,0.766,1.082,21.6,0.0,0.0,9.1,2.2,2.5,1.1,1.4,3.2,6.8,8.8,9.3,7.3,https://overtimeelite.com/players/361ccb77-5e4f-42dc-a728-da2f6c5add40
77,"Mutts, Justyn",PF,Virginia Tech,1/4/99,25.50,"6'7""",230,"7'3""",,,,,,,79,77.75,82,74,80,108,82,74,61,61,33,33.2,13.3,1.9,5.4,7.3,4.6,1.5,0.8,2.8,2.5,5.5,9.8,0.561,5.1,8.6,0.593,0.4,1.2,0.333,1.8,3.0,0.600,0.975,14.4,2.1,5.9,7.9,5.0,1.6,0.9,3.0,2.7,6.0,9.3,1.3,3.3,https://www.sports-reference.com/cbb/players/justyn-mutts-1.html
78,"Toppin, Jacob",SF,Kentucky,5/8/00,24.16,"6'9""",194,"6'11""",,,,,,,80,78.13,86,60,93,108,82,74,61,61,33,31.4,12.4,1.9,4.9,6.8,2.2,0.5,0.5,1.5,2.3,4.8,10.3,0.466,4.3,8.5,0.506,0.5,1.8,0.278,2.3,3.4,0.676,0.985,14.2,2.2,5.6,7.8,2.5,0.6,0.6,1.7,2.6,5.5,9.7,2.1,3.9,https://www.sports-reference.com/cbb/players/jacob-toppin-1.html
79,"Nowell, Markquis",PG,Kansas State,12/25/99,24.53,"5'7""",155,"6'0""",,,,,,,81,78.25,81,82,119,79,69,74,61,61,36,36.9,17.6,0.4,3.1,3.5,8.3,2.6,0.1,3.7,2.0,5.0,12.9,0.388,2.6,6.0,0.433,2.4,6.9,0.348,5.1,5.8,0.879,1.165,17.2,0.4,3.0,3.4,8.1,2.5,0.1,3.6,2.0,4.9,5.9,6.7,5.7,https://www.sports-reference.com/cbb/players/markquis-nowell-1.html
80,"Sherfield, Grant",PG,Oklahoma,10/29/99,24.68,"6'2""",189,,,,,,,,82,78.38,97,75,87,90,82,74,61,61,32,33.7,15.9,0.2,2.3,2.5,3.3,0.7,0.0,2.3,1.7,5.3,13.1,0.405,2.7,6.6,0.409,2.6,6.5,0.400,2.8,3.2,0.875,1.185,17.0,0.2,2.5,2.7,3.5,0.7,0.0,2.5,1.8,5.7,7.1,6.9,3.4,https://www.sports-reference.com/cbb/players/grant-sherfield-1.html
81,"Rogkavopoulos, Nikos",SF,Turkey,6/27/01,23.02,"6'8""",201,"6'8""",,,,,,,83,78.38,85,79,77,108,82,74,61,61,28,32.5,15.5,1.7,4.5,6.2,1.9,1.1,0.3,1.9,1.9,5.0,11.9,0.420,2.7,5.6,0.482,2.3,6.3,0.365,3.2,3.7,0.865,1.169,17.2,1.9,5.0,6.9,2.1,1.2,0.3,2.1,2.1,5.5,6.2,7.0,4.1,https://www.basketball-reference.com/international/players/nikos-rogavopoulos-1.html
82,"Black, Leaky",SF,North Carolina,6/14/99,25.06,"6'8""",195,"6'11""",,,,,,,84,79.88,119,90,78,74,82,74,61,61,33,32.1,7.3,1.8,4.8,6.6,1.5,1.3,0.8,0.9,2.1,2.6,6.3,0.413,1.8,3.7,0.486,0.8,2.6,0.308,1.2,1.7,0.706,1.090,8.2,2.0,5.4,7.4,1.7,1.5,0.9,1.0,2.4,2.9,4.1,2.9,1.9,https://www.sports-reference.com/cbb/players/rechon-black-1.html
83,"Powell, Justin",PG,Washington State,5/9/01,23.16,"6'6""",205,,,,,,,,85,80.13,78,119,90,76,82,74,61,61,34,33.8,10.4,0.4,3.6,4.0,2.8,0.7,0.1,0.9,1.4,3.6,8.8,0.409,1.3,3.4,0.382,2.3,5.4,0.426,0.9,1.1,0.818,1.273,11.1,0.4,3.8,4.3,3.0,0.7,0.1,1.0,1.5,3.8,3.6,5.8,1.2,https://www.sports-reference.com/cbb/players/justin-powell-1.html
84,"Audige, Chase",PG,Northwestern,6/29/99,25.02,"6'4""",200,,,,,,,,86,80.63,84,119,79,85,82,74,61,61,34,34.4,14.1,0.7,2.7,3.4,2.9,2.4,0.6,2.4,2.4,4.9,13.3,0.368,2.9,7.2,0.403,2.0,6.1,0.328,2.3,2.8,0.821,1.150,14.8,0.7,2.8,3.6,3.0,2.5,0.6,2.5,2.5,5.1,7.5,6.4,2.9,https://www.sports-reference.com/cbb/players/chase-audige-1.html
85,"Kinsey, Taevion",SG,Marshall,5/10/00,24.15,"6'5""",185,"6'10""",,,,,,,87,81.63,119,99,85,72,82,74,61,61,32,37.8,22.1,1.5,3.4,4.9,5.4,1.7,0.5,2.2,1.6,8.5,15.6,0.545,7.9,14.1,0.560,0.6,1.5,0.400,4.5,6.1,0.738,0.988,21.0,1.4,3.2,4.7,5.1,1.6,0.5,2.1,1.5,8.1,13.4,1.4,5.8,https://www.sports-reference.com/cbb/players/taevion-kinsey-1.html
86,"Davis, Kendric",PG,Memphis,5/14/99,25.14,"5'11""",180,"6'1""",,,,,,,88,81.75,119,94,81,82,82,74,61,61,34,34.9,21.9,0.5,3.2,3.7,5.4,2.0,0.2,3.1,1.9,6.7,16.2,0.414,4.8,10.7,0.449,1.9,5.5,0.345,6.6,7.7,0.857,1.085,22.6,0.5,3.3,3.8,5.6,2.1,0.2,3.2,2.0,6.9,11.0,5.7,7.9,https://www.sports-reference.com/cbb/players/kendric-davis-1.html
87,"Bagley, Marcus",SF,Arizona State,10/23/01,22.70,"6'8""",215,"6'11""",,,,,,,89,82.25,94,119,100,78,71,74,61,61,2,28.5,12.5,1.0,3.0,4.0,1.5,0.0,0.5,2.5,0.0,3.5,11.0,0.318,2.0,6.5,0.308,1.5,4.5,0.333,4.0,6.5,0.615,0.983,15.8,1.3,3.8,5.1,1.9,0.0,0.6,3.2,0.0,4.4,8.2,5.7,8.2,https://www.sports-reference.com/cbb/players/marcus-bagley-1.html
88,"Baugh, Damion",PG,TCU,8/3/00,23.92,"6'3""",185,"6'8""",,,,,,,90,82.50,93,119,84,86,82,74,61,61,29,35.0,12.6,0.7,4.1,4.8,5.8,1.8,0.3,2.8,1.6,4.4,10.2,0.431,3.4,7.2,0.472,1.0,3.0,0.333,2.8,4.0,0.700,1.023,13.0,0.7,4.2,4.9,6.0,1.9,0.3,2.9,1.6,4.5,7.4,3.1,4.1,https://www.sports-reference.com/cbb/players/damion-baugh-1.html
89,"McGhee, Darius",PG,Liberty,6/2/99,25.09,"5'9""",160,,,,,,,,91,83.13,119,119,68,81,82,74,61,61,36,31.9,22.8,0.4,2.9,3.3,3.0,1.6,0.2,1.9,1.2,7.6,17.3,0.439,3.1,5.9,0.525,4.5,11.4,0.395,3.1,3.6,0.861,1.241,25.7,0.5,3.3,3.7,3.4,1.8,0.2,2.1,1.4,8.6,6.7,12.9,4.1,https://www.sports-reference.com/cbb/players/darius-mcghee-1.html
90,"Digbeu, Tom",SG,Australia,9/24/01,22.78,"6'5""",169,"6'7""",,,,,,,92,83.25,77,84,119,108,82,74,61,61,19,12.3,4.6,0.4,1.2,1.6,1.1,0.4,0.3,0.9,1.2,1.5,3.3,0.455,1.2,2.6,0.462,0.3,0.7,0.429,1.3,1.7,0.765,1.023,13.5,1.2,3.5,4.7,3.2,1.2,0.9,2.6,3.5,4.4,7.6,2.0,5.0,https://www.basketball-reference.com/international/players/tom-digbeu-1.html
91,"Fudge, Alex",SF,Florida,5/6/03,21.16,"6'8""",185,"7'0""",,,,,,,93,83.50,98,85,119,88,82,74,61,61,32,19.3,5.8,1.5,3.0,4.5,0.4,0.4,0.8,1.0,2.3,2.2,5.6,0.393,1.9,4.1,0.463,0.3,1.5,0.200,1.0,1.8,0.556,0.969,10.8,2.8,5.6,8.4,0.7,0.7,1.5,1.9,4.3,4.1,7.6,2.8,3.4,"https://www.sports-reference.com/cbb/players/alex-fudge-1.html#:~:text=Alex%20Fudge%20Position%3A%20Forward%206-8%20%2C%20185lb%20%28cm%2C,Overview%20Game%20Logs%20Full%20Game%20Logs%202021-22%202022-23"
92,"Jones, Tevian",PF,Southern Utah,6/29/00,24.02,"6'7""",190,"6'10""",,,,,,,94,83.50,87,119,76,108,82,74,61,61,36,33.8,17.8,0.8,3.6,4.4,1.3,1.1,0.1,2.2,1.8,5.4,13.2,0.409,3.0,6.7,0.448,2.4,6.5,0.369,4.7,5.6,0.839,1.132,19.0,0.9,3.8,4.7,1.4,1.2,0.1,2.3,1.9,5.8,7.1,6.9,6.0,https://www.sports-reference.com/cbb/players/tevian-jones-1.html
93,"Funk, Taylor",SF,Utah State,11/6/97,26.66,"6'8""",230,,,,,,,,95,84.50,76,119,95,108,82,74,61,61,34,30.6,13.4,1.2,4.3,5.5,1.7,0.9,0.7,1.4,1.9,4.9,10.8,0.454,2.5,4.4,0.568,2.4,6.4,0.375,1.3,1.5,0.867,1.205,15.8,1.4,5.1,6.5,2.0,1.1,0.8,1.6,2.2,5.8,5.2,7.5,1.8,https://www.sports-reference.com/cbb/players/taylor-funk-1.html
94,"Mayer, Matthew",SF,Illinois,10/23/99,24.70,"6'9""",225,"6'10""",,,,,,,96,85.00,89,86,119,108,82,74,61,61,33,26.6,12.5,1.0,4.4,5.4,1.1,0.8,1.2,1.4,2.4,4.0,9.9,0.404,2.0,3.7,0.541,2.0,6.2,0.323,2.4,3.3,0.727,1.146,16.9,1.4,6.0,7.3,1.5,1.1,1.6,1.9,3.2,5.4,5.0,8.4,4.5,https://www.sports-reference.com/cbb/players/matthew-mayer-1.html
95,"Scheierman, Baylor",SG,Creighton,9/26/00,23.78,"6'6""",180,"6'8""",,,,,,,97,86.38,119,67,119,108,82,74,61,61,37,32.7,12.8,0.9,7.3,8.2,3.3,1.0,0.2,2.2,2.1,4.4,10.3,0.427,2.0,3.8,0.526,2.4,6.5,0.369,1.7,2.0,0.850,1.212,14.1,1.0,8.0,9.0,3.6,1.1,0.2,2.4,2.3,4.8,4.2,7.2,2.2,https://www.sports-reference.com/cbb/players/baylor-scheierman-1.html
96,"Joiner, Jarkel",PG,North Carolina State,5/20/99,25.13,"6'1""",180,,,,,,,,98,86.63,88,100,119,108,82,74,61,61,34,35.9,17.0,0.8,4.0,4.8,3.6,1.3,0.1,1.4,1.6,5.9,13.7,0.431,4.1,8.6,0.477,1.8,5.1,0.353,3.4,4.0,0.850,1.110,17.0,0.8,4.0,4.8,3.6,1.3,0.1,1.4,1.6,5.9,8.6,5.1,4.0,https://www.sports-reference.com/cbb/players/jarkel-joiner-1.html
97,"Davis, Antoine",PG,Detroit Mercy,10/3/98,25.76,"6'1""",165,,,,,,,,99,86.75,91,98,119,108,82,74,61,61,33,37.4,28.2,0.4,2.6,3.0,3.6,1.2,0.1,3.3,2.1,9.2,22.2,0.414,4.4,10.5,0.419,4.8,11.7,0.410,5.0,5.5,0.909,1.213,27.1,0.4,2.5,2.9,3.5,1.2,0.1,3.2,2.0,8.9,10.1,11.3,5.3,https://www.sports-reference.com/cbb/players/antoine-davis-2.html
98,"Campbell, Tyger",PG,UCLA,1/9/00,24.49,"5'11""",180,,,,,,,,100,87.00,92,119,99,108,82,74,61,61,37,32.0,13.4,0.5,2.1,2.6,5.0,1.2,0.0,1.6,1.2,4.6,12.2,0.377,3.2,8.0,0.400,1.4,4.2,0.333,2.7,3.2,0.844,1.115,15.1,0.6,2.4,2.9,5.6,1.4,0.0,1.8,1.4,5.2,9.0,4.7,3.6,https://www.sports-reference.com/cbb/players/tyger-campbell-1.html
99,"McConnell, Caleb",SG,Rutgers,6/8/99,25.08,"6'7""",195,,,,,,,,101,87.38,119,119,75,108,82,74,61,61,28,33.7,9.1,1.5,4.0,5.5,3.1,2.5,0.4,2.1,2.3,3.6,9.1,0.396,3.1,6.8,0.456,0.5,2.3,0.217,1.4,2.1,0.667,1.006,9.7,1.6,4.3,5.9,3.3,2.7,0.4,2.2,2.5,3.8,7.3,2.5,2.2,https://www.sports-reference.com/cbb/players/caleb-mcconnell-1.html
100,"Smith, Malachi",PG,Gonzaga,12/6/99,24.58,"6'4""",205,"6'8""",,,,,,,102,87.50,119,119,97,87,82,74,61,61,37,20.8,8.7,0.9,2.8,3.7,1.4,0.9,0.0,0.8,1.1,3.2,6.0,0.533,2.0,3.6,0.556,1.2,2.4,0.500,1.0,1.3,0.769,1.153,15.1,1.6,4.8,6.4,2.4,1.6,0.0,1.4,1.9,5.5,6.2,4.2,2.3,https://www.sports-reference.com/cbb/players/malachi-smith-1.html
101,"Nakic, Mario",SG,Bosnia and Herzogovina,6/14/01,23.06,"6'7""",185,"6'7.5""",,,,,,,103,87.50,119,76,119,108,82,74,61,61,3,29.7,14.7,3.0,5.7,8.7,1.7,2.3,0.3,1.0,3.3,6.0,15.7,0.382,4.7,11.4,0.412,1.3,4.3,0.302,1.3,1.7,0.765,1.089,17.8,3.6,6.9,10.5,2.1,2.8,0.4,1.2,4.0,7.3,13.8,5.2,2.1,https://www.basketball-reference.com/international/players/mario-nakic-1.html
